clean_comment_v1,clean_comment_v2,sentiment,type
your are very good keep it up,good keep,2,0
চাকিপ ক্যানের মুবি রিব্যু বেচি বেচি,চাকিপ ক্যান মুবি রিব্যু বেচি বেচি,1,0
আপনি বাংলাদেশী এইটা সত্যি অবাক করার বিষয়,বাংলাদেশী এই সত্যি অবাক বিষয়,1,0
নতুন নতুন সিমেনার চাই,সিমেন চাই,1,0
eto buddhi kibhabe shomvob,eto buddhi kibhab shomvob,2,0
osthir,osthir,2,0
i think this one is the best of all d,think one best,2,0
i enjoy your videos a lot but you had to watch that many bangla cinema to make this are you still sane,enjoy video lot watch mani bangla cinema make still sane,2,0
হালা গোরা হালা,হালা গোর হালা,0,0
সুপার দুপার,সুপ দুপ,2,0
apnr namki korenfamily,apnr namki korenfamili,1,0
apnr namki korenfamily,apnr namki korenfamili,1,0
apnr namki korenfamily,apnr namki korenfamili,1,0
aniqa anjum proma,aniqa anjum proma,1,0
অসাধারণ,অসাধারণ,2,0
অসাধারণ,অসাধারণ,2,0
vai r video banan nah kn,vai r video banan nah kn,2,0
your good vai keep on going d,good vai keep go,2,0
abar sai kalo bonduk,abar sai kalo bonduk,1,0
vai tumi to daruu,vai tumi daruu,2,0
vai tumi to daruu,vai tumi daruu,2,0
hahaha,hahaha,1,0
amon video ro chai bro,amon video ro chai bro,1,0
joshimer figure bostar moto,joshim figur bostar moto,0,0
vai tmi best,vai tmi best,2,0
new video ashe na kn,new video ash na kn,1,0
vai doya kore new bangla mobie nia cinemaal jai hokna kano ager cinema gula best silo jegulo kharap segularei pochano uchit,vai doya kore new bangla mobi nia cinema jai hokna kano ager cinema gula best silo jegulo kharap segularei pochano uchit,0,0
shethi is a thicc boi,shethi thicc boi,1,0
i miss undertaker,miss undertak,1,0
i miss undertaker,miss undertak,1,0
vi sotti haste haste pore gesi plz r troll korenna ebar more jabo haste haste,vi sotti hast hast pore gesi plz r troll korenna ebar jabo hast hast,2,0
awesome we want,awesom want,2,0
awesome we want,awesom want,2,0
owsam,owsam,2,0
joss,joss,2,0
ভাত খাইতে বইয়া ভিডিওটা দেখতে লইসিলাম দেখা অর্ধেক শেষ হইতে না হইতে হাসতে হাসতে গলায় ভাত ঠেইকা গেসে,ভাত খাইতে বইয়া ভিডিও লইসি অর্ধেক না হাস হাস গলায় ভাত ঠেইকা গাস,2,0
you are so much,much,2,0
facebook page e ache youtube e upload korte deyni due to copyright of the song,facebook page e ach youtub e upload kort deyni due copyright song,1,0
nice brooooooo,nice brooooooo,2,0
eta just fun videokeu seriously niben na,eta fun videokeu serious niben na,1,0
sudo bd movie ke pochano chara kisu janen na,sudo bd movi ke pochano chara kisu janen na,0,0
nure alam এইগুলা কে মুভি বলে নাকি,nure alam এইগুলা মুভি,0,0
allah go eta ami ki apnara to aktu try korlei akhon movie banaite parben plz try koren,allah go eta ami ki apnara aktu tri korlei akhon movi banait parben plz tri koren,2,0
this guy works,guy work,1,0
great just great,great great,2,0
ভ্যাই আরো চাই এমন,ভ্যা আরো চাই,2,0
rick and morty,rick morti,1,0
buttfixx waiting,buttfixx wait,1,0
cartoon er nam butt fix,cartoon er nam butt fix,1,0
last 34 month dhre wait kortesi,last month dhre wait kortesi,1,0
উল্লুক ঐটা সাইড কার হুইলচেয়ার না জার্মানরা ইউজ করে,উল্লুক ঐটা সাইড কার হুইলচেয় না জার্মান ইউজ,0,0
dear rahat bro next videor jnno aro koto din wait kora lagbe,dear rahat bro next videor jnno aro koto din wait kora lagb,1,0
awesome,awesom,2,0
that ben make me cry for laughing d d,ben make cri laugh,2,0
dude we need some new where you at,dude need new,1,0
dude we need some new where you at,dude need new,1,0
good d cant wait,good cant wait,2,0
vaia apnr vid upload late hoi coz u do quality carry on only quality is real,vaia apnr vid upload late hoi coz u qualiti carri qualiti real,2,0
আরে বলদা আনানta জলিল আর বসতির ছেলে হিজলা খান রে নিয়া vedio বানাও হাসতে হাসতে stroke করলে দায়ী থাকব শাকিব খান হিজলা ওরুফে বসতি দি সুইপার ইশtar,আরে বলদা আনানta জলিল বসতির ছাল হিজলা খান রে নিয়া vedio বানা হাস হাস stroke দায়ী থাকব শাকিব খান হিজলা ওরুফে বসতি দি সুইপ ইশtar,0,0
vai under taker ka nia video like undertaker,vai taker ka nia video like undertak,1,0
আসবে দুটো মাস অপেক্ষা করুন,আসবে মাস অপেক্ষা করুন,1,0
buttfixx your videos are awesome keep up the good work hoping for a new video soon,buttfixx video awesom keep good work hope new video soon,2,0
how much weed you have smoked before making the guys are so made my day,much weed smoke make guy made day,0,0
heavy informativce r prottekt i compare kora,heavi informativc r prottekt compar kora,2,0
lsd is great,lsd great,2,0
josss hoise bhai,josss hois bhai,2,0
subscribe na kore parlam,subscrib na kore parlam,2,0
subscribe na kore parlam,subscrib na kore parlam,1,0
dude you are extremely talented the way youve included all those references couldnt have been better were not worthy,dude extrem talent way youv includ refer couldnt better worthi,2,0
thanks its been reported thanks for the support y,thank report thank support,2,0
waiting for more videos d d,wait video,2,0
waiting for more videos d d,wait video,1,0
alas na alis in wonderland,ala na ali wonderland,1,0
