,comment,type,sentiment
0,"গানটা যখন শুনছি, তখনই এই শহরটা ছাড়ার ঘন্টা বেঁজে গেছে। এ মাসেই বাসা ছেড়েছি, আজ চাকরির শেষ দিন হাতে আছে আর অল্পকিছু দিন, তারপর অজানা বহুদিনের জন্য দেশটাও ছেড়ে যাবো ২৪/১০/২০২৫। জানিনা আবার কবে ফিরে আসবো এই ইট-বালুর শহর আর আমার সবুজের সেই চিরচেনা গ্রামে চেনা মাটির ঘ্রানে।",emotional,negative
1,tnx gan ta onak sundor.we hope that amon sundor gan aro pavo,emotional,positive
2,ei shohor amar are or our noy,emotional,negative
3,"যারা নিজের এলাকা ছেড়ে দূরে চলে গেছে, তাদের জন্য এই গান শুধু সুর নয়—প্রতিটি লাইনই একেকটা স্মৃতির আকাশ",emotional,positive
4,"আজ ২২-১০-২৫ স্মীতি রেখে গেলাম আপনাদের মাঝে,,,যখনই লাইক দিবেন নোটিফিকেশন পেয়ে আবার আসবো ধন্যবাদ",informative,positive
5,সাইফ ভাইয়ের সবগুলো গান আমার খুব ভালো লাগে,opinion,positive
6,কিছু মনুষ মরে যায় ২০ শে,emotional,negative
7,এই দেশ আমার আর নয়...!!! একটা গান হলে প্রবাসী ভাইরা অনেক খুশি হবে সাইফ ভাই,emotional,negative
8,ছোট্ট একটা জীবন। দেখতে দেখতে শেষ... সমীকরণ মেলানোর মিথ্যে চেষ্টা,emotional,negative
9,"খুব করে আগলে রাখা দরজা, আমার আর নয়,, চেনা গলি চারতে যে আজ লাগছে ভীষণ বয়.. ২কথা ছিলোনা হবে এমন, তবু কেনো এমন যে হয় হটাৎ করে জানতে পেলাম, এই শহর আমার আর নয়,, এই শহর আমার আর নয়, এই শহর আমার আর নয়",emotional,negative
10,অসম্ভব সুন্দর গান,opinion,positive
11,৩দিনের জন্য বাড়ি আসছিলাম এখন চলে যাইতেছি,informative,neutral
12,গানের এক একটা শুনলে কলিজায় গিয়ে লাগে,opinion,positive
13,"hotat kore ami jante pelam tumi amr nao,,jekhane thakis valo thakis prio",emotional,positive
14,"২০১৯ এ ঘর থেকে চলে আসা, আর ফেরার সময় হলো না",emotional,negative
15,sotti sobar jonno ae sahara na,emotional,negative
16,গান রিদয়ে গিয়ে লাগে,opinion,positive
17,গান সুন্দর কিন্তু শুর মানায় নাই,opinion,negative
18,আমি ২৫ এ শেষ হয়ে গেছি নতুন করে শেষ হওয়ার আর কিছু নেই,emotional,negative
19,ভাই দীন পালনকরি। আপনার গান আমার অনেক ভালো লাগে কিন্তু মিউজিকের জন্য শুনতে অনেক খারাপ লাগে। ভাই যদি আপনি আমাদের মুসলিম ভাই ও বোনদের জন্য একই গান মিউজিকসহ এবং মিউজিক ছাড়া। বা আপনার কাছে অন্য কোন পন্থা থাকলে তা কার্যকর করার জন্য। বিনীত অনুরোধ রইল। আপনার মুসলিম ভাই। আসসালামু আলাইকুম ওয়া রাহমাতুল্লাহি ওয়া বারাকাতুহু।,emotional,negative
20,kastow dawok gan saif zohan (habib mark),informative,neutral
21,"ভাই আপনারে মন থেকে ভালোবাসা জানাই,",emotional,positive
22,দারুণ ভয়েচ,emotional,positive
23,আপনার জন্য দয়া ও ভালো বাসা রইলো,emotional,positive
24,শৈশব নিয়ে ভিন্ন ধরণের একটি গান banan,opinion,neutral
25,আহারে শৈশব গানটি আমার কাছে খুব কুবোই ভালো লেগেছে,opinion,positive
26,ভাইয়া কোনো জানি আপনার গান গুলো আমার রিদয় কেরে নেয়,emotional,positive
27,আমার মত প্রতিটি প্রবাসীর হৃদয়ে রক্তক্ষরণ হয় এমন গান শুনলে।দু&#39;চোখ বেয়ে জলের ধারা বইতে থাকে!,emotional,positive
28,আসলে ছেলেদের জন্য স্থানীয় কোনো শহর নাই। নিজের বাড়ীতে তারা অথিতি,opinion,negative
29,হৃদয়হরন সৃষ্টি হে স্রষ্ঠা... অনেক শুভকামনা কলকাতা থেকে।,emotional,positive
30,মন-প্রাণ জুড়িয়ে গেল,emotional,positive
